GeneName	condition
Defa5	GSE83687_Colon_GroupCD-GroupControl_Up
Defa29	GSE83687_Colon_GroupCD-GroupControl_Up
Defa27	GSE83687_Colon_GroupCD-GroupControl_Up
Defa43	GSE83687_Colon_GroupCD-GroupControl_Up
Defa21	GSE83687_Colon_GroupCD-GroupControl_Up
Defa20	GSE83687_Colon_GroupCD-GroupControl_Up
Defa36	GSE83687_Colon_GroupCD-GroupControl_Up
Defa30	GSE83687_Colon_GroupCD-GroupControl_Up
Defa24	GSE83687_Colon_GroupCD-GroupControl_Up
Defa26	GSE83687_Colon_GroupCD-GroupControl_Up
Defa42	GSE83687_Colon_GroupCD-GroupControl_Up
Defa39	GSE83687_Colon_GroupCD-GroupControl_Up
Defa37	GSE83687_Colon_GroupCD-GroupControl_Up
Defa36	GSE83687_Colon_GroupCD-GroupControl_Up
AY761185	GSE83687_Colon_GroupCD-GroupControl_Up
Defa26	GSE83687_Colon_GroupCD-GroupControl_Up
Defa28	GSE83687_Colon_GroupCD-GroupControl_Up
Defa3	GSE83687_Colon_GroupCD-GroupControl_Up
Defa21	GSE83687_Colon_GroupCD-GroupControl_Up
Defa29	GSE83687_Colon_GroupCD-GroupControl_Up
Defa25	GSE83687_Colon_GroupCD-GroupControl_Up
Defa17	GSE83687_Colon_GroupCD-GroupControl_Up
Defa33	GSE83687_Colon_GroupCD-GroupControl_Up
Defa32	GSE83687_Colon_GroupCD-GroupControl_Up
Defa42	GSE83687_Colon_GroupCD-GroupControl_Up
Defa40	GSE83687_Colon_GroupCD-GroupControl_Up
Defa43	GSE83687_Colon_GroupCD-GroupControl_Up
Defa27	GSE83687_Colon_GroupCD-GroupControl_Up
Defa41	GSE83687_Colon_GroupCD-GroupControl_Up
Defa23	GSE83687_Colon_GroupCD-GroupControl_Up
Defa30	GSE83687_Colon_GroupCD-GroupControl_Up
Defa34	GSE83687_Colon_GroupCD-GroupControl_Up
Defa2	GSE83687_Colon_GroupCD-GroupControl_Up
Defa22	GSE83687_Colon_GroupCD-GroupControl_Up
Defa20	GSE83687_Colon_GroupCD-GroupControl_Up
Defa5	GSE83687_Colon_GroupCD-GroupControl_Up
Defa31	GSE83687_Colon_GroupCD-GroupControl_Up
Defa39	GSE83687_Colon_GroupCD-GroupControl_Up
Defa38	GSE83687_Colon_GroupCD-GroupControl_Up
Defa35	GSE83687_Colon_GroupCD-GroupControl_Up
Defa24	GSE83687_Colon_GroupCD-GroupControl_Up
Cox6c	GSE83687_Colon_GroupCD-GroupControl_Down
Cthrc1	GSE83687_Colon_GroupCD-GroupControl_Up
Gem	GSE83687_Colon_GroupCD-GroupControl_Up
Cldn2	GSE83687_Colon_GroupCD-GroupControl_Up
Tmem63c	GSE83687_Colon_GroupCD-GroupControl_Down
Jcad	GSE83687_Colon_GroupCD-GroupControl_Up
Slc39a2	GSE83687_Colon_GroupCD-GroupControl_Down
Gpr176	GSE83687_Colon_GroupCD-GroupControl_Up
Avpr1a	GSE83687_Colon_GroupCD-GroupControl_Up
Cyyr1	GSE83687_Colon_GroupCD-GroupControl_Up
C2	GSE83687_Colon_GroupCD-GroupControl_Up
Dchs1	GSE83687_Colon_GroupCD-GroupControl_Up
Zmat1	GSE83687_Colon_GroupCD-GroupControl_Up
Clec4e	GSE83687_Colon_GroupCD-GroupControl_Up
Clec4d	GSE83687_Colon_GroupCD-GroupControl_Up
Slfn5	GSE83687_Colon_GroupCD-GroupControl_Up
Ldhd	GSE83687_Colon_GroupCD-GroupControl_Down
Pex11a	GSE83687_Colon_GroupCD-GroupControl_Down
Mesp1	GSE83687_Colon_GroupCD-GroupControl_Down
AA467197	GSE83687_Colon_GroupCD-GroupControl_Down
Grem1	GSE83687_Colon_GroupCD-GroupControl_Up
Acsf2	GSE83687_Colon_GroupCD-GroupControl_Down
Slc27a4	GSE83687_Colon_GroupCD-GroupControl_Down
Gprc5b	GSE83687_Colon_GroupCD-GroupControl_Up
Loxhd1	GSE83687_Colon_GroupCD-GroupControl_Up
Krt80	GSE83687_Colon_GroupCD-GroupControl_Up
Krt24	GSE83687_Colon_GroupCD-GroupControl_Down
Eci1	GSE83687_Colon_GroupCD-GroupControl_Down
Cavin2	GSE83687_Colon_GroupCD-GroupControl_Up
Mtcl1	GSE83687_Colon_GroupCD-GroupControl_Up
Serinc2	GSE83687_Colon_GroupCD-GroupControl_Down
Il7r	GSE83687_Colon_GroupCD-GroupControl_Up
Uqcrfs1	GSE83687_Colon_GroupCD-GroupControl_Down
Gsg1l	GSE83687_Colon_GroupCD-GroupControl_Down
Ldb2	GSE83687_Colon_GroupCD-GroupControl_Up
Csgalnact2	GSE83687_Colon_GroupCD-GroupControl_Up
Robo1	GSE83687_Colon_GroupCD-GroupControl_Up
Vstm2a	GSE83687_Colon_GroupCD-GroupControl_Down
Pfkfb3	GSE83687_Colon_GroupCD-GroupControl_Up
Emb	GSE83687_Colon_GroupCD-GroupControl_Up
S1pr1	GSE83687_Colon_GroupCD-GroupControl_Up
Kcnd3	GSE83687_Colon_GroupCD-GroupControl_Up
Lrrc8c	GSE83687_Colon_GroupCD-GroupControl_Up
Lgals4	GSE83687_Colon_GroupCD-GroupControl_Down
Pwwp2b	GSE83687_Colon_GroupCD-GroupControl_Down
Reg3b	GSE83687_Colon_GroupCD-GroupControl_Up
Reg3a	GSE83687_Colon_GroupCD-GroupControl_Up
Reg3d	GSE83687_Colon_GroupCD-GroupControl_Up
Reg3g	GSE83687_Colon_GroupCD-GroupControl_Up
Bsg	GSE83687_Colon_GroupCD-GroupControl_Down
Mcrip2	GSE83687_Colon_GroupCD-GroupControl_Down
Rasgrp1	GSE83687_Colon_GroupCD-GroupControl_Up
Themis	GSE83687_Colon_GroupCD-GroupControl_Up
Cyp7b1	GSE83687_Colon_GroupCD-GroupControl_Up
Bnc2	GSE83687_Colon_GroupCD-GroupControl_Up
Abcd2	GSE83687_Colon_GroupCD-GroupControl_Up
Ptprm	GSE83687_Colon_GroupCD-GroupControl_Up
Atp5md	GSE83687_Colon_GroupCD-GroupControl_Down
Micos13	GSE83687_Colon_GroupCD-GroupControl_Down
Zg16	GSE83687_Colon_GroupCD-GroupControl_Down
Pcsk1	GSE83687_Colon_GroupCD-GroupControl_Up
Lpl	GSE83687_Colon_GroupCD-GroupControl_Up
Mctp1	GSE83687_Colon_GroupCD-GroupControl_Up
Dpp10	GSE83687_Colon_GroupCD-GroupControl_Down
Zfp575	GSE83687_Colon_GroupCD-GroupControl_Down
Rimkla	GSE83687_Colon_GroupCD-GroupControl_Down
Kcna3	GSE83687_Colon_GroupCD-GroupControl_Up
Fbxo39	GSE83687_Colon_GroupCD-GroupControl_Up
Samd9l	GSE83687_Colon_GroupCD-GroupControl_Up
Cd28	GSE83687_Colon_GroupCD-GroupControl_Up
Apold1	GSE83687_Colon_GroupCD-GroupControl_Up
Cyc1	GSE83687_Colon_GroupCD-GroupControl_Down
Fuca1	GSE83687_Colon_GroupCD-GroupControl_Down
Ldlrad3	GSE83687_Colon_GroupCD-GroupControl_Up
Fjx1	GSE83687_Colon_GroupCD-GroupControl_Up
Cdh5	GSE83687_Colon_GroupCD-GroupControl_Up
Dctpp1	GSE83687_Colon_GroupCD-GroupControl_Down
Kcne1	GSE83687_Colon_GroupCD-GroupControl_Up
Rnf182	GSE83687_Colon_GroupCD-GroupControl_Up
Bhlhe22	GSE83687_Colon_GroupCD-GroupControl_Up
